System,Title,Status,result,iStatus,Detail,Open Date,Closed Date,Status
10.23.67.85,MBSS-OS-Red Hat Linux 91.1 - 4.1.7 Ensure events that modify the system's Mandatory Access Controls are collected,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 90.5 - 4.1.6 Ensure events that modify the system's network environment are collected - b32 sethostname,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 90.4 - 4.1.6 Ensure events that modify the system's network environment are collected - /etc/sysconfig/network,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 90.3 - 4.1.6 Ensure events that modify the system's network environment are collected - /etc/issue,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 90.2 - 4.1.6 Ensure events that modify the system's network environment are collected - /etc/issue,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 90.1 - 4.1.6 Ensure events that modify the system's network environment are collected - /etc/hosts,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 89.5 - 4.1.5 Ensure events that modify user/group information are collected - /etc/group,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 89.4 - 4.1.5 Ensure events that modify user/group information are collected - /etc/passwd,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 89.3 - 4.1.5 Ensure events that modify user/group information are collected - /etc/gshadow,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 89.2 - 4.1.5 Ensure events that modify user/group information are collected - /etc/securit/opasswd,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux 89.1 - 4.1.5 Ensure events that modify user/group information are collected - /etc/shadow,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  01 - 5.3.3 Ensure password reuse is limited - password-auth,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  01 - 5.3.3 Ensure password reuse is limited - system-auth,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - password-auth 'auth sufficient pam_faillock.so authsucc audit deny=10 unlock_time=90' ,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - password-auth 'auth [default=die] pam_faillock.so',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - password-auth 'auth [success=1 default=bad] pam_unix.so',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - password-auth 'auth required pam_faillock.so preauth audit silent deny=10 unlock_time=90',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - system-auth 'auth sufficient pam_faillock.so authsucc audit deny=10 unlock_time=90',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - system-auth 'auth [default=die] pam_faillock.so authfail audit deny=10 unlock_time=90',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - system-auth 'auth [success=1 default=bad] pam_unix.so',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  07 - 5.3.2 Lockout for failed password attempts - system-auth 'auth required pam_faillock.so preauth audit silent deny=10 unlock_time=90',PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.8 - 5.3.1 Ensure password creation requirements are configured - lcredit,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.7 - 5.3.1 Ensure password creation requirements are configured - ocredit,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.6 - 5.3.1 Ensure password creation requirements are configured - ucredit,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.5 - 5.3.1 Ensure password creation requirements are configured - dcredit,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  4 - 5.3.1 Ensure password creation requirements are configured - minlen,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.4 - 5.3.1 Ensure password creation requirements are configured - system-auth retry=3,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.3 - 5.3.1 Ensure password creation requirements are configured - password-auth retry=3,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.2 - 5.3.1 Ensure password creation requirements are configured - system-auth try_first_pass,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  05.1 - 5.3.1 Ensure password creation requirements are configured - password-auth try_first_pass,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,MBSS-OS-Red Hat Linux  42 - 5.2.15 Ensure SSH warning banner is configured,FAILED,"ÿþ""",3,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.3 Ensure logrotate is configured,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.3 Ensure rsyslog or syslog-ng is installed,PASSED,"ÿþ""",0,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.5 Ensure remote syslog-ng messages are only accepted on designated log hosts,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.4 Ensure syslog-ng is configured to send logs to a remote log host - log src,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.4 Ensure syslog-ng is configured to send logs to a remote log host - destination logserver,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.3 Ensure syslog-ng default file permissions configured,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.2 Ensure logging is configured,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
10.23.67.85,4.2.2.1 Ensure syslog-ng service is enabled,WARNING,"ÿþ""",2,"ÿþ""",2018-07-27T09:27:47.650Z,,open
